们	Phonosemantic compound. 亻 represents the meaning and 门 represents the sound.	[{"char":"亻","type":"meaning","notes":"亻 is a component form of 人.","pinyin":"rén","definition":"person"},{"char":"门","type":"sound","pinyin":"mén","definition":"door; gate"}]
竹	Pictograph of bamboo stalks.	[]
个	Pictograph of one stalk of bamboo. Same as one half of the character for bamboo (竹).	[]
囗	Pictograph of a wall surrounding an area. Component form of 围 (traditional 圍).	[]
韋	Pictograph of two feet walking around city walls. The character is based on the original meaning "to surround", which is unrelated to the modern meaning.	[]
韦	Simplified form of 韋. Pictograph of two feet walking around city walls. The character is based on the original meaning "to surround", which is unrelated to the modern meaning.	[]
围	Phonosemantic compound. 囗 represents the meaning and 韦 represents the sound.	[{"char":"囗","type":"meaning","pinyin":"wéi","definition":"wall; surrounding"},{"char":"韦","type":"sound","pinyin":"wéi","definition":"leather"}]
圍	Phonosemantic compound. 囗 represents the meaning and 韋 represents the sound.	[{"char":"囗","type":"meaning","pinyin":"wéi","definition":"wall; surrounding"},{"char":"韋","type":"sound","pinyin":"wéi","definition":"leather"}]
古	Origin unclear. Possibly a pictograph of a shield.	[]
固	Phonosemantic compound. 囗 represents the meaning and 古 represents the sound.	[{"char":"囗","type":"meaning","pinyin":"wéi","definition":"wall; surrounding"},{"char":"古","type":"sound","pinyin":"gǔ","definition":"ancient; old"}]
個	Phonosemantic compound. 亻 represents the meaning and 固 represents the sound.	[{"char":"亻","type":"meaning","notes":"亻 is a component form of 人.","pinyin":"rén","definition":"person"},{"char":"固","type":"sound","pinyin":"gù","definition":"sturdy; firm"}]
來	Pictograph of wheat. The current meaning "come" is a phonetic loan. The original meaning "wheat" is now written as 麥.	[]
来	Simplified form of 來. Pictograph of wheat. The current meaning "come" is a phonetic loan. The original meaning "wheat" is now written as 麥.	[]
麥	The top component 來 is a pictograph of wheat. It is unclear why the foot component (夂) was added to the character for "wheat".	[{"char":"來","type":"sound","notes":"Also serves as an iconic component.","pinyin":"lái","definition":"come"},{"char":"夂","type":"unknown","notes":"夂 is a component form of 止. The purpose of this component is unclear.","pinyin":"zhǐ","definition":"(foot); stop"}]
麦	Simplified form of 麥. The top component 來 is a pictograph of wheat. It is unclear why the foot component (夂) was added to the character for "wheat".	[{"char":"來","type":"sound","notes":"Also serves as an iconic component.","pinyin":"lái","definition":"come"},{"char":"夂","type":"unknown","notes":"夂 is a component form of 止. The purpose of this component is unclear.","pinyin":"zhǐ","definition":"(foot); stop"}]
要	Pictograph of two hands grabbing a woman's waist. The current meaning "want" is a phonetic loan. The original meaning "waist" is now written as 腰.	[{"char":"覀","type":"iconic","notes":"Represents two hands grabbing a waist.","pinyin":"xx","definition":"[character component]"},{"char":"女","type":"iconic","pinyin":"nǚ; rǔ","definition":"woman; female"}]
腰	Phonosemantic compound. ⺼ represents the meaning and 要 represents the sound.	[{"char":"⺼","type":"meaning","notes":"⺼ is a component form of 肉.","pinyin":"ròu","definition":"meat; flesh"},{"char":"要","type":"sound","pinyin":"yào; yāo","definition":"want; will"}]
就	Phonosemantic compound. 京 represents the meaning and 尤 represents the sound. Based on the original meaning "achieve". The meaning of this character has shifted over time and now means "high place".	[{"char":"京","type":"meaning","pinyin":"jīng","definition":"(high place); capital city"},{"char":"尤","type":"sound","pinyin":"yóu","definition":"especially; outstanding"}]
京	Pictograph of a tall building. Similar to 高. Based on the original meaning "high place". The meaning of this character has shifted over time and now means "capital city".	[]
高	Pictograph of a tall building. Similar to 京.	[]
尤	Pictograph of a hand with a wart on it. The current meaning "especially" is a phonetic loan. The original meaning "wart" is now written as 疣.	[]
疣	Phonosemantic compound. 疒 represents the meaning and 尤 represents the sound.	[{"char":"疒","type":"meaning","pinyin":"nè","definition":"sickness"},{"char":"尤","type":"sound","pinyin":"yóu","definition":"especially; outstanding"}]
疒	Pictograph of a stretcher for sick people.	[]
到	Phonosemantic compound. 至 represents the meaning and 刂 represents the sound.	[{"char":"至","type":"meaning","pinyin":"zhì","definition":"arrive"},{"char":"刂","type":"sound","notes":"刂 is a component form of 刀.","pinyin":"dāo","definition":"knife"}]
至	Pictograph of an arrow hitting its target.	[]
刀	Pictograph of a knife.	[]
兒	Pictograph of a child with an opening in the top of its head. Represents the soft spot (fontanel) at the top of young infant heads.	[]
儿	Simplified form of 兒. Pictograph of a child with an opening in the top of its head. Represents the soft spot (fontanel) at the top of young infant heads.	[]
兄	Pictograph of a mouth on top of a person, representing an older brother giving orders.	[{"char":"口","type":"iconic","pinyin":"kǒu","definition":"mouth"},{"char":"人","type":"iconic","pinyin":"rén","definition":"person"}]
兌	Pictograph of words coming out of the mouth of a person, representing negotiation of an exchange.	[{"char":"八","type":"iconic","notes":"Represents words coming out of the mouth.","pinyin":"bā","definition":"eight; (separate)"},{"char":"口","type":"iconic","pinyin":"kǒu","definition":"mouth"},{"char":"人","type":"iconic","pinyin":"rén","definition":"person"}]
兑	Simplified form of 兌. Pictograph of words coming out of the mouth of a person, representing negotiation of an exchange.	[{"char":"八","type":"iconic","notes":"Represents words coming out of the mouth.","pinyin":"bā","definition":"eight; (separate)"},{"char":"口","type":"iconic","pinyin":"kǒu","definition":"mouth"},{"char":"人","type":"iconic","pinyin":"rén","definition":"person"}]
八	Pictograph of two lines facing away from each other. The current meaning "eight" is a phonetic loan. The original meaning "separate" is now written as 别.	[]
说	Phonosemantic compound. 讠 represents the meaning and 兑 represents the sound.	[{"char":"讠","type":"meaning","notes":"讠 is a component form of 言.","pinyin":"yán","definition":"speech"},{"char":"兑","type":"sound","pinyin":"duì","definition":"exchange"}]
說	Phonosemantic compound. 言 represents the meaning and 兌 represents the sound.	[{"char":"言","type":"meaning","pinyin":"yán","definition":"speech"},{"char":"兌","type":"sound","pinyin":"duì","definition":"exchange"}]
力	Pictograph of a plow, representing strength	[]
另	Origin unclear. Possibly derived from the left side of 別, which has a related meaning.	[{"char":"口","type":"unknown","notes":"The purpose of this component is unclear.","pinyin":"kǒu","definition":"mouth"},{"char":"力","type":"unknown","notes":"The purpose of this component is unclear.","pinyin":"lì","definition":"strength; power"}]
冎	Pictograph of bones.	[]
咼		[{"char":"冎","type":"meaning","pinyin":"guǎ","definition":"bone"},{"char":"口","type":"meaning","pinyin":"kǒu","definition":"mouth"}]
骨	Pictograph of a bone (冎) with muscle (⺼) attached to it.	[{"char":"冎","type":"iconic","pinyin":"guǎ","definition":"bone"},{"char":"⺼","type":"iconic","notes":"⺼ is a component form of 肉.","pinyin":"ròu","definition":"meat; flesh"}]
別	Pictograph depicting cutting meat off of a bone.	[{"char":"冎","type":"iconic","notes":"Here written similar to 另.","pinyin":"guǎ","definition":"bone"},{"char":"刂","type":"iconic","notes":"刂 is a component form of 刀.","pinyin":"dāo","definition":"knife"}]
别	Simplified form of 別. Pictograph depicting cutting meat off of a bone.	[{"char":"冎","type":"iconic","notes":"Here written similar to 另.","pinyin":"guǎ","definition":"bone"},{"char":"刂","type":"iconic","notes":"刂 is a component form of 刀.","pinyin":"dāo","definition":"knife"}]
水	Pictograph of a river.	[]
艸	Pictograph of blades of grass.	[]
棗	Pictograph of a date tree.	[]
枣	Simplified form of 棗. Pictograph of a date tree.	[]
日	Pictograph of the sun.	[]
十	A single vertical line, representing one set of ten. Analagous to the archaic characters 廿 (twenty) and 卅 (thirty).	[]
廿	Two vertical lines, representing two sets of ten.	[]
卅	Three vertical lines, representing three sets of ten.	[]
早	Phonosemantic compound. 日 represents the meaning and 棗 represents the sound. The form of the original phonetic component 棗 was abbreviated to look like 十.	[{"char":"日","type":"meaning","pinyin":"rì","definition":"sun; day"},{"char":"棗","type":"sound","pinyin":"zǎo","definition":"date tree"}]
草	Phonosemantic compound. 艹 represents the meaning and 早 represents the sound.	[{"char":"艹","type":"meaning","notes":"艹 is a component form of 艸.","pinyin":"cǎo","definition":"grass"},{"char":"早","type":"sound","pinyin":"zǎo","definition":"early; morning"}]
木	Pictograph of a tree.	[]
手	Pictograph of a hand with five fingers.	[]
王	Pictograph of an axe head, used as a symbol of the king's military authority.	[]
今	Pictograph of sounds coming out of the mouth. The current meaning "today" is a phonetic loan. The original meaning "moan" is now written as 吟.	[]
吟	Phonosemantic compound. 口 represents the meaning and 今 represents the sound.	[{"char":"口","type":"meaning","pinyin":"kǒu","definition":"mouth"},{"char":"今","type":"sound","pinyin":"jīn","definition":"today"}]
金	Phonosemantic compound. 王 represents the meaning and 今 represents the sound. 王 is used here because it originally was a pictograph of an axe head, which is made from metal.	[{"char":"王","type":"meaning","pinyin":"wáng; wàng","definition":"king"},{"char":"今","type":"sound","pinyin":"jīn","definition":"today"}]
心	Pictograph of a heart.	[]
虫	Pictograph of a worm.	[]
目	Pictograph of an eye.	[]
魚	Pictograph of a fish.	[]
鱼	Simplified form of 魚. Pictograph of a fish.	[]
山	Pictograph of a mountain.	[]
火	Pictograph of fire.	[]
犬	Pictograph of a dog.	[]
石	Pictograph of a stone chime.	[]
