# HSK 3.0 character → level mapping. Level 7 = the combined 7–9 band.
# Format: <hanzi>	<level>
# Source: github.com/ivankra/hsk30 (MIT); upstream OCR by Pleco Inc. (MIT).
染	5
扰	5
绕	5
忍	5
扔	5
荣	5
绒	5
软	5
润	5
洒	5
杀	5
傻	5
扇	5
稍	5
蛇	5
舍	5
射	5
摄	5
伸	5
剩	5
拾	5
驶	5
饰	5
柿	5
寿	5
瘦	5
蔬	5
鼠	5
摔	5
硕	5
私	5
搜	5
肃	5
宿	5
碎	5
损	5
索	5
锁	5
抬	5
坦	5
逃	5
桃	5
萄	5
厅	5
偷	5
吐	5
兔	5
托	5
违	5
唯	5
委	5
胃	5
慰	5
卧	5
污	5
夕	5
析	5
悉	5
惜	5
吓	5
闲	5
献	5
详	5
享	5
歇	5
协	5
斜	5
辛	5
欣	5
雄	5
熊	5
虚	5
询	5
押	5
鸭	5
厌	5
艳	5
央	5
邀	5
咬	5
乙	5
忆	5
谊	5
饮	5
硬	5
拥	5
幽	5
尤	5
犹	5
羽	5
域	5
豫	5
怨	5
灾	5
仔	5
暂	5
糟	5
赠	5
摘	5
涨	5
掌	5
珍	5
诊	5
振	5
震	5
挣	5
织	5
执	5
珠	5
竹	5
筑	5
撞	5
紫	5
醉	5
尊	5
遵	5
挨	6
傲	6
罢	6
榜	6
傍	6
胞	6
暴	6
爆	6
奔	6
逼	6
扁	6
拨	6
波	6
捕	6
踩	6
残	6
惨	6
仓	6
藏	6
厕	6
侧	6
策	6
昌	6
畅	6
炒	6
撤	6
撑	6
崇	6
宠	6
储	6
串	6
醋	6
搭	6
诞	6
党	6
档	6
岛	6
蹈	6
盗	6
滴	6
抵	6
帝	6
吊	6
跌	6
督	6
赌	6
渡	6
端	6
蹲	6
夺	6
额	6
恩	6
番	6
凡	6
犯	6
肺	6
废	6
氛	6
粉	6
愤	6
峰	6
锋	6
奉	6
佛	6
浮	6
副	6
肝	6
杆	6
岗	6
港	6
稿	6
攻	6
宫	6
巩	6
贡	6
孤	6
谷	6
股	6
刮	6
拐	6
贯	6
轨	6
跪	6
憾	6
耗	6
狠	6
横	6
衡	6
宏	6
洪	6
壶	6
幻	6
患	6
皇	6
辉	6
毁	6
绘	6
慧	6
昏	6
混	6
吉	6
疾	6
佳	6
嘉	6
尖	6
监	6
捡	6
剑	6
舰	6
践	6
鉴	6
箭	6
酱	6
骄	6
焦	6
揭	6
杰	6
洁	6
截	6
井	6
径	6
纠	6
捐	6
菌	6
刊	6
抗	6
扣	6
酷	6
跨	6
阔	6
啦	6
赖	6
栏	6
懒	6
牢	6
梁	6
谅	6
裂	6
灵	6
炉	6
露	6
略	6
嘛	6
埋	6
麦	6
馒	6
盲	6
梅	6
蒙	6
盟	6
猛	6
棉	6
妙	6
灭	6
膜	6
磨	6
墨	6
谋	6
墓	6
纳	6
泥	6
扭	6
怒	6
诺	6
盼	6
泡	6
炮	6
偏	6
贫	6
聘	6
屏	6
坡	6
扑	6
铺	6
欺	6
旗	6
恰	6
迁	6
牵	6
铅	6
谦	6
潜	6
歉	6
茄	6
侵	6
倾	6
渠	6
券	6
融	6
乳	6
若	6
塞	6
丧	6
勺	6
舌	6
涉	6
审	6
牲	6
圣	6
盛	6
薯	6
爽	6
税	6
寺	6
苏	6
素	6
塔	6
踏	6
叹	6
探	6
趟	6
掏	6
踢	6
添	6
田	6
铜	6
徒	6
吞	6
拖	6
挖	6
娃	6
哇	6
湾	6
顽	6
亡	6
旺	6
威	6
乌	6
伍	6
悟	6
牺	6
嫌	6
陷	6
祥	6
晓	6
胁	6
谐	6
械	6
薪	6
凶	6
袖	6
绪	6
悬	6
旋	6
循	6
讯	6
炎	6
沿	6
宴	6
洋	6
仰	6
氧	6
耀	6
野	6
液	6
仪	6
异	6
隐	6
忧	6
娱	6
愉	6
予	6
宇	6
欲	6
誉	6
援	6
缘	6
跃	6
晕	6
允	6
遭	6
扎	6
炸	6
宅	6
债	6
账	6
障	6
哲	6
镇	6
症	6
枝	6
殖	6
忠	6
肿	6
粥	6
诸	6
煮	6
驻	6
柱	6
赚	6
庄	6
壮	6
捉	6
咨	6
宗	6
纵	6
奏	6
祖	6
钻	6
罪	6
哎	7
哀	7
癌	7
蔼	7
艾	7
唉	7
隘	7
昂	7
凹	7
熬	7
奥	7
澳	7
扒	7
叭	7
芭	7
靶	7
坝	7
霸	7
掰	7
柏	7
扳	7
颁	7
斑	7
拌	7
瓣	7
邦	7
绑	7
谤	7
磅	7
镑	7
煲	7
堡	7
豹	7
曝	7
卑	7
碑	7
狈	7
惫	7
崩	7
绷	7
蹦	7
鄙	7
毙	7
痹	7
碧	7
蔽	7
弊	7
臂	7
鞭	7
贬	7
辨	7
辫	7
飙	7
憋	7
彬	7
滨	7
缤	7
丙	7
秉	7
柄	7
剥	7
伯	7
驳	7
泊	7
勃	7
舶	7
脖	7
搏	7
膊	7
卜	7
哺	7
怖	7
睬	7
惭	7
灿	7
苍	7
沧	7
舱	7
糙	7
曹	7
槽	7
蹭	7
岔	7
刹	7
诧	7
掺	7
搀	7
馋	7
禅	7
缠	7
铲	7
阐	7
颤	7
猖	7
嫦	7
敞	7
钞	7
巢	7
嘲	7
扯	7
臣	7
尘	7
辰	7
陈	7
趁	7
呈	7
惩	7
澄	7
橙	7
逞	7
秤	7
痴	7
弛	7
驰	7
齿	7
侈	7
耻	7
斥	7
赤	7
翅	7
仇	7
绸	7
畴	7
酬	7
稠	7
筹	7
瞅	7
橱	7
畜	7
揣	7
踹	7
川	7
喘	7
炊	7
垂	7
捶	7
锤	7
唇	7
醇	7
蠢	7
戳	7
绰	7
瓷	7
慈	7
磁	7
赐	7
匆	7
囱	7
葱	7
丛	7
凑	7
簇	7
窜	7
催	7
摧	7
粹	7
翠	7
搓	7
磋	7
挫	7
歹	7
逮	7
怠	7
丹	7
耽	7
荡	7
叨	7
捣	7
祷	7
悼	7
稻	7
蹬	7
邓	7
凳	7
瞪	7
堤	7
迪	7
涤	7
笛	7
蒂	7
缔	7
颠	7
巅	7
甸	7
垫	7
淀	7
惦	7
奠	7
殿	7
刁	7
叼	7
雕	7
钓	7
爹	7
迭	7
谍	7
叠	7
碟	7
丁	7
叮	7
盯	7
鼎	7
钉	7
董	7
栋	7
兜	7
抖	7
陡	7
逗	7
睹	7
杜	7
妒	7
兑	7
敦	7
盹	7
炖	7
哆	7
舵	7
堕	7
惰	7
讹	7
俄	7
娥	7
鹅	7
厄	7
遏	7
鳄	7
饵	7
伐	7
阀	7
帆	7
贩	7
芳	7
妨	7
肪	7
纺	7
绯	7
匪	7
诽	7
沸	7
芬	7
吩	7
坟	7
焚	7
粪	7
蜂	7
冯	7
逢	7
缝	7
讽	7
凤	7
孵	7
敷	7
伏	7
俘	7
袱	7
辐	7
抚	7
斧	7
俯	7
咐	7
赴	7
赋	7
腹	7
缚	7
覆	7
尬	7
丐	7
钙	7
溉	7
甘	7
竿	7
尴	7
冈	7
缸	7
杠	7
膏	7
戈	7
胳	7
鸽	7
搁	7
割	7
阁	7
耕	7
耿	7
弓	7
恭	7
躬	7
拱	7
勾	7
钩	7
沽	7
菇	7
辜	7
雇	7
寡	7
卦	7
乖	7
棺	7
灌	7
罐	7
龟	7
闺	7
瑰	7
桂	7
棍	7
郭	7
骇	7
酣	7
函	7
涵	7
韩	7
罕	7
旱	7
捍	7
焊	7
撼	7
杭	7
浩	7
呵	7
禾	7
阂	7
荷	7
赫	7
鹤	7
嘿	7
痕	7
哼	7
恒	7
轰	7
哄	7
烘	7
弘	7
虹	7
喉	7
吼	7
弧	7
唬	7
沪	7
哗	7
猾	7
徊	7
淮	7
槐	7
唤	7
焕	7
痪	7
荒	7
凰	7
煌	7
恍	7
晃	7
谎	7
徽	7
卉	7
讳	7
贿	7
秽	7
浑	7
魂	7
豁	7
祸	7
惑	7
霍	7
讥	7
饥	7
缉	7
畸	7
稽	7
棘	7
嫉	7
脊	7
忌	7
剂	7
迹	7
祭	7
寂	7
颊	7
贾	7
嫁	7
稼	7
奸	7
歼	7
兼	7
煎	7
拣	7
柬	7
俭	7
荐	7
贱	7
溅	7
姜	7
浆	7
僵	7
疆	7
桨	7
匠	7
浇	7
娇	7
椒	7
跤	7
礁	7
嚼	7
狡	7
绞	7
矫	7
搅	7
缴	7
轿	7
酵	7
皆	7
劫	7
捷	7
竭	7
诫	7
津	7
筋	7
锦	7
谨	7
晋	7
浸	7
茎	7
荆	7
晶	7
兢	7
阱	7
颈	7
窘	7
揪	7
灸	7
舅	7
拘	7
鞠	7
菊	7
橘	7
沮	7
矩	7
炬	7
惧	7
锯	7
倦	7
诀	7
掘	7
崛	7
爵	7
倔	7
君	7
钧	7
俊	7
峻	7
骏	7
竣	7
凯	7
慨	7
楷	7
勘	7
堪	7
侃	7
砍	7
槛	7
慷	7
扛	7
苛	7
磕	7
壳	7
垦	7
恳	7
啃	7
坑	7
吭	7
孔	7
抠	7
枯	7
窟	7
夸	7
垮	7
挎	7
筐	7
旷	7
框	7
窥	7
魁	7
馈	7
溃	7
愧	7
昆	7
捆	7
廓	7
喇	7
腊	7
蜡	7
兰	7
拦	7
婪	7
澜	7
揽	7
缆	7
滥	7
狼	7
廊	7
捞	7
姥	7
唠	7
涝	7
勒	7
垒	7
磊	7
蕾	7
棱	7
愣	7
黎	7
吏	7
隶	7
粒	7
莲	7
廉	7
敛	7
链	7
辽	7
僚	7
寥	7
潦	7
咧	7
劣	7
猎	7
拎	7
淋	7
赁	7
凌	7
陵	7
岭	7
溜	7
刘	7
浏	7
瘤	7
柳	7
遛	7
咙	7
胧	7
聋	7
笼	7
隆	7
窿	7
拢	7
垄	7
搂	7
陋	7
芦	7
卤	7
虏	7
鲁	7
赂	7
鹿	7
碌	7
吕	7
侣	7
铝	7
屡	7
缕	7
履	7
滤	7
孪	7
卵	7
掠	7
抡	7
伦	7
罗	7
萝	7
螺	7
裸	7
迈	7
脉	7
蛮	7
瞒	7
蔓	7
芒	7
氓	7
茫	7
莽	7
茅	7
髦	7
茂	7
玫	7
枚	7
眉	7
霉	7
昧	7
媚	7
魅	7
闷	7
萌	7
朦	7
孟	7
弥	7
谜	7
觅	7
泌	7
蜜	7
绵	7
勉	7
缅	7
苗	7
瞄	7
渺	7
庙	7
蔑	7
鸣	7
铭	7
谬	7
蘑	7
魔	7
抹	7
沫	7
陌	7
莫	7
寞	7
牡	7
亩	7
姆	7
沐	7
牧	7
募	7
睦	7
慕	7
暮	7
穆	7
呐	7
乃	7
囊	7
挠	7
恼	7
馁	7
嫩	7
尼	7
拟	7
逆	7
匿	7
腻	7
黏	7
酿	7
尿	7
捏	7
拧	7
凝	7
纽	7
奴	7
虐	7
挪	7
哦	7
欧	7
殴	7
呕	7
趴	7
帕	7
徘	7
潘	7
攀	7
叛	7
畔	7
乓	7
庞	7
膀	7
抛	7
刨	7
袍	7
胚	7
沛	7
佩	7
抨	7
烹	7
棚	7
蓬	7
鹏	7
篷	7
膨	7
捧	7
劈	7
疲	7
辟	7
媲	7
僻	7
譬	7
飘	7
撇	7
乒	7
坪	7
萍	7
颇	7
魄	7
剖	7
仆	7
菩	7
朴	7
浦	7
谱	7
瀑	7
沏	7
栖	7
凄	7
戚	7
漆	7
歧	7
祈	7
棋	7
乞	7
岂	7
迄	7
泣	7
契	7
砌	7
掐	7
洽	7
虔	7
钳	7
遣	7
谴	7
嵌	7
呛	7
腔	7
乔	7
侨	7
俏	7
窍	7
翘	7
撬	7
怯	7
窃	7
钦	7
秦	7
禽	7
寝	7
擎	7
顷	7
丘	7
囚	7
驱	7
屈	7
躯	7
娶	7
拳	7
犬	7
雀	7
壤	7
攘	7
嚷	7
饶	7
惹	7
仁	7
韧	7
溶	7
冗	7
柔	7
揉	7
儒	7
辱	7
锐	7
瑞	7
撒	7
萨	7
桑	7
嗓	7
骚	7
嫂	7
臊	7
僧	7
纱	7
砂	7
鲨	7
厦	7
筛	7
删	7
煽	7
擅	7
膳	7
赡	7
捎	7
梢	7
哨	7
奢	7
慑	7
绅	7
肾	7
渗	7
慎	7
绳	7
尸	7
狮	7
蚀	7
矢	7
氏	7
侍	7
逝	7
嗜	7
誓	7
匙	7
兽	7
抒	7
枢	7
梳	7
疏	7
赎	7
署	7
蜀	7
曙	7
竖	7
恕	7
墅	7
耍	7
衰	7
甩	7
拴	7
栓	7
涮	7
霜	7
瞬	7
烁	7
丝	7
斯	7
撕	7
伺	7
祀	7
饲	7
肆	7
耸	7
讼	7
宋	7
诵	7
颂	7
艘	7
嗽	7
酥	7
溯	7
蒜	7
髓	7
遂	7
隧	7
嗦	7
塌	7
胎	7
汰	7
泰	7
贪	7
摊	7
滩	7
瘫	7
坛	7
痰	7
潭	7
毯	7
炭	7
碳	7
唐	7
塘	7
膛	7
倘	7
淌	7
烫	7
涛	7
滔	7
陶	7
淘	7
腾	7
藤	7
剔	7
屉	7
剃	7
涕	7
惕	7
舔	7
帖	7
廷	7
亭	7
艇	7
捅	7
桶	7
筒	7
凸	7
秃	7
涂	7
屠	7
颓	7
屯	7
驮	7
妥	7
拓	7
唾	7
蛙	7
瓦	7
歪	7
丸	7
挽	7
惋	7
婉	7
腕	7
汪	7
枉	7
妄	7
伪	7
纬	7
萎	7
畏	7
魏	7
瘟	7
纹	7
蚊	7
吻	7
紊	7
翁	7
涡	7
窝	7
沃	7
巫	7
呜	7
吴	7
侮	7
捂	7
勿	7
晤	7
雾	7
昔	7
晰	7
稀	7
锡	7
溪	7
熙	7
熄	7
膝	7
嬉	7
袭	7
媳	7
隙	7
虾	7
瞎	7
侠	7
峡	7
狭	7
辖	7
霞	7
仙	7
纤	7
掀	7
贤	7
弦	7
衔	7
宪	7
馅	7
羡	7
腺	7
厢	7
镶	7
翔	7
巷	7
橡	7
肖	7
削	7
宵	7
萧	7
潇	7
淆	7
孝	7
啸	7
邪	7
挟	7
携	7
泄	7
泻	7
卸	7
屑	7
懈	7
芯	7
馨	7
衅	7
猩	7
腥	7
刑	7
汹	7
羞	7
朽	7
绣	7
锈	7
嗅	7
墟	7
徐	7
旭	7
叙	7
恤	7
酗	7
絮	7
婿	7
蓄	7
喧	7
玄	7
炫	7
靴	7
穴	7
勋	7
熏	7
旬	7
巡	7
汛	7
驯	7
逊	7
丫	7
鸦	7
芽	7
崖	7
涯	7
哑	7
雅	7
讶	7
咽	7
淹	7
岩	7
阎	7
衍	7
掩	7
雁	7
焰	7
燕	7
殃	7
秧	7
杨	7
痒	7
漾	7
妖	7
窑	7
谣	7
遥	7
钥	7
椰	7
冶	7
伊	7
夷	7
怡	7
矣	7
倚	7
屹	7
亦	7
抑	7
役	7
绎	7
弈	7
疫	7
逸	7
裔	7
溢	7
毅	7
翼	7
荫	7
姻	7
殷	7
瘾	7
婴	7
鹰	7
荧	7
盈	7
莹	7
蝇	7
颖	7
佣	7
庸	7
咏	7
涌	7
踊	7
悠	7
佑	7
诱	7
渔	7
逾	7
渝	7
愚	7
舆	7
屿	7
驭	7
郁	7
吁	7
狱	7
浴	7
喻	7
御	7
寓	7
裕	7
愈	7
冤	7
渊	7
袁	7
曰	7
岳	7
悦	7
粤	7
匀	7
陨	7
孕	7
酝	7
韵	7
蕴	7
砸	7
栽	7
宰	7
攒	7
赃	7
葬	7
凿	7
枣	7
藻	7
皂	7
灶	7
噪	7
燥	7
躁	7
泽	7
贼	7
渣	7
闸	7
眨	7
诈	7
榨	7
窄	7
寨	7
